processed_text,label,lda_text,tokens,dominant_topic
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class achi thi par thodi boring bhi,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,lecture bilkul samajh nahi aaya thoda aur practice chahiye,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'thoda', 'aur', 'practice', 'chahiye']",1
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN thoda_HI aur_HI practice_EN chahiye_HI,positive,sir teaching style bahut accha hai thoda aur practice chahiye,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'thoda', 'aur', 'practice', 'chahiye']",0
discussion_EN session_EN kaafi_HI useful_EN tha_EN overall_EN,positive,discussion session kaafi useful tha overall,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'overall']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN,negative,topic bahut poorly explain hua,"['topic', 'bahut', 'poorly', 'explain', 'hua']",4
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN slides_EN achi_HI thi_EN,neutral,concept samajh aaya par pace fast tha slides achi thi,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha', 'slides', 'achi', 'thi']",4
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN me_HI interest_EN nahi_HI aaya_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,class me interest nahi aaya thoda aur practice chahiye,"['class', 'nahi', 'aaya', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN me_HI interest_EN nahi_HI aaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,class me interest nahi aaya thoda slow hona chahiye tha,"['class', 'nahi', 'aaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN honestly_EN,neutral,class theek thi bas thoda lamba tha honestly,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'honestly']",3
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
discussion_EN session_EN kaafi_HI useful_EN tha_EN,positive,discussion session kaafi useful tha,"['discussion', 'session', 'kaafi', 'useful', 'tha']",3
aaj_HI lecture_EN bahut_HI informative_EN tha_EN honestly_EN,positive,aaj lecture bahut informative tha honestly,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'honestly']",2
class_EN engaging_EN thi_EN aur_HI boring_EN nahi_HI thi_EN slides_EN achi_HI thi_EN,positive,class engaging thi aur boring nahi thi slides achi thi,"['class', 'engaging', 'thi', 'aur', 'boring', 'nahi', 'thi', 'slides', 'achi', 'thi']",3
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN slides_EN achi_HI thi_EN,neutral,content theek tha par delivery slow thi slides achi thi,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'slides', 'achi', 'thi']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
examples_EN clear_EN nahi_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,examples clear nahi thoda aur practice chahiye,"['examples', 'clear', 'nahi', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
lecture_EN confusing_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,lecture confusing tha thoda slow hona chahiye tha,"['lecture', 'confusing', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN slides_EN achi_HI thi_EN,neutral,content theek tha par delivery slow thi slides achi thi,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'slides', 'achi', 'thi']",3
aaj_HI lecture_EN bahut_HI informative_EN tha_EN examples_EN ache_EN,positive,aaj lecture bahut informative tha examples ache,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'examples', 'ache']",2
class_EN average_EN thi_EN honestly_EN,neutral,class average thi honestly,"['class', 'average', 'thi', 'honestly']",3
notes_EN aur_HI explanation_EN dono_HI helpful_EN according_EN me_HI,positive,notes aur explanation dono helpful according me,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'according']",1
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN,neutral,content theek tha par delivery slow thi,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI honestly_EN,neutral,lecture theek tha aur examples ho sakte honestly,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'honestly']",2
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
notes_EN aur_HI explanation_EN dono_HI helpful_EN overall_EN,positive,notes aur explanation dono helpful overall,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'overall']",1
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,teacher ne concept bahut clearly samjhaya aur thoda detail me hona chahiye tha,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI examples_EN ache_EN,positive,teacher ne concept bahut clearly samjhaya examples ache,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'examples', 'ache']",0
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI according_EN me_HI,neutral,class achi thi par thodi boring bhi according me,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'according']",3
session_EN okay_EN tha_EN slides_EN achi_HI thi_EN,neutral,session okay tha slides achi thi,"['session', 'okay', 'tha', 'slides', 'achi', 'thi']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
examples_EN clear_EN nahi_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,examples clear nahi thoda slow hona chahiye tha,"['examples', 'clear', 'nahi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN average_EN thi_EN honestly_EN,neutral,class average thi honestly,"['class', 'average', 'thi', 'honestly']",3
examples_EN clear_EN nahi_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,examples clear nahi aur thoda detail me hona chahiye tha,"['examples', 'clear', 'nahi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI slides_EN achi_HI thi_EN,neutral,lecture normal tha special nahi slides achi thi,"['lecture', 'normal', 'tha', 'special', 'nahi', 'slides', 'achi', 'thi']",0
aaj_HI lecture_EN bahut_HI informative_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,aaj lecture bahut informative tha aur thoda detail me hona chahiye tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI overall_EN,negative,lecture bilkul samajh nahi aaya overall,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'overall']",1
lecture_EN manageable_EN tha_EN overall_EN,neutral,lecture manageable tha overall,"['lecture', 'manageable', 'tha', 'overall']",2
kal_EN class_EN bhot_HI achi_HI thi_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,kal class bhot achi thi aur thoda detail me hona chahiye tha,"['kal', 'class', 'bhot', 'achi', 'thi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN thoda_HI aur_HI practice_EN chahiye_HI,neutral,content theek tha par delivery slow thi thoda aur practice chahiye,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'thoda', 'aur', 'practice', 'chahiye']",3
notes_EN aur_HI explanation_EN dono_HI helpful_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,notes aur explanation dono helpful aur thoda detail me hona chahiye tha,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI slides_EN achi_HI thi_EN,negative,teacher ne topic properly explain nahi kiya slides achi thi,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'slides', 'achi', 'thi']",1
examples_EN clear_EN nahi_HI overall_EN,negative,examples clear nahi overall,"['examples', 'clear', 'nahi', 'overall']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
aaj_HI lecture_EN bahut_HI informative_EN tha_EN according_EN me_HI,positive,aaj lecture bahut informative tha according me,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'according']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
kal_EN class_EN bhot_HI achi_HI thi_EN,positive,kal class bhot achi thi,"['kal', 'class', 'bhot', 'achi', 'thi']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN according_EN me_HI,positive,sir teaching style bahut accha hai according me,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'according']",0
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,sir teaching style bahut accha hai aur thoda detail me hona chahiye tha,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
class_EN environment_EN acha_POS tha_EN,positive,class environment acha tha,"['class', 'environment', 'acha', 'tha']",4
kal_EN class_EN achaah_HI thi_EN,positive,kal class achaah thi,"['kal', 'class', 'achaah', 'thi']",3
class_EN achaah_HI thi_EN par_EN thodi_HI borin_HI bhi_HI,neutral,class achaah thi par thodi borin bhi,"['class', 'achaah', 'thi', 'par', 'thodi', 'borin', 'bhi']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
session_EN okay_EN tha_EN overall_EN,neutral,session okay tha overall,"['session', 'okay', 'tha', 'overall']",3
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN examples_EN ache_EN,neutral,content theek tha par delivery slow thi examples ache,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'examples', 'ache']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN examples_EN ache_EN,negative,topic bahut poorly explain hua examples ache,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'examples', 'ache']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
discussion_EN session_EN kaafi_HI useful_EN tha_EN honestly_EN,positive,discussion session kaafi useful tha honestly,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'honestly']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
topic_EN bahut_HI poorly_EN explain_EN hua_EN slides_EN achi_HI thi_EN,negative,topic bahut poorly explain hua slides achi thi,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'slides', 'achi', 'thi']",3
aaj_HI lecture_EN bahut_HI informative_EN tha_EN overall_EN,positive,aaj lecture bahut informative tha overall,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'overall']",2
teacher_EN ne_HI concept_EN bahuut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bahuut clearly samjhaya,"['teacher', 'concept', 'bahuut', 'clearly', 'samjhaya']",0
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
class_EN environment_EN achaah_HI tha_EN,positive,class environment achaah tha,"['class', 'environment', 'achaah', 'tha']",4
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI thoda_HI aur_HI practice_EN chahiye_HI,neutral,lecture normal tha special nahi thoda aur practice chahiye,"['lecture', 'normal', 'tha', 'special', 'nahi', 'thoda', 'aur', 'practice', 'chahiye']",1
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI honestly_EN,positive,teacher ne concept bahut clearly samjhaya honestly,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'honestly']",0
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN confusing_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,lecture confusing tha aur thoda detail me hona chahiye tha,"['lecture', 'confusing', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI,negative,lecture bilkul samajh nahi aaya,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya']",1
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,topic bahut ache se cover kiya gaya thoda slow hona chahiye tha,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
teacher_EN explanation_EN weak_EN tha_EN,negative,teacher explanation weak tha,"['teacher', 'explanation', 'weak', 'tha']",0
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
session_EN okay_EN tha_EN overall_EN,neutral,session okay tha overall,"['session', 'okay', 'tha', 'overall']",3
class_EN pace_EN bahut_HI fast_EN tha_EN honestly_EN,negative,class pace bahut fast tha honestly,"['class', 'pace', 'bahut', 'fast', 'tha', 'honestly']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
lecture_EN time_EN waste_EN jaisa_HI laga_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,lecture time waste jaisa laga thoda aur practice chahiye,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'thoda', 'aur', 'practice', 'chahiye']",0
class_EN me_HI interest_EN nahi_HI aaya_HI overall_EN,negative,class me interest nahi aaya overall,"['class', 'nahi', 'aaya', 'overall']",4
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
class_EN pace_EN bhot_HI fast_EN tha_EN,negative,class pace bhot fast tha,"['class', 'pace', 'bhot', 'fast', 'tha']",4
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI thoda_HI aur_HI practice_EN chahiye_HI,neutral,class achi thi par thodi boring bhi thoda aur practice chahiye,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'thoda', 'aur', 'practice', 'chahiye']",3
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI examples_EN ache_EN,neutral,lecture theek tha aur examples ho sakte examples ache,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'examples', 'ache']",2
